SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
HAVELLS,EQ,1310.9,1359.9,1310.4,1331.9,1331.0,1307.95,1247361,1672489455.0,01-JUN-2023,51731,INE176B01034,
HCLTECH,EQ,1148.0,1155.15,1137.65,1141.9,1140.85,1145.1,1445692,1654411967.75,01-JUN-2023,82196,INE860A01027,
HDFC,EQ,2670.0,2670.0,2638.8,2646.7,2645.15,2640.4,3666667,9744871692.55,01-JUN-2023,133117,INE001A01036,
HDFC,W3,480.0,485.0,465.1,468.8,468.25,471.15,24600,11677050.0,01-JUN-2023,41,INE001A13049,
HDFCAMC,EQ,1960.0,1982.7,1945.05,1950.0,1947.0,1963.05,273417,537069829.75,01-JUN-2023,15645,INE127D01025,
HDFCBANK,EQ,1619.9,1619.9,1600.0,1604.0,1601.0,1610.85,25183469,40601423757.55,01-JUN-2023,282772,INE040A01034,
HDFCLIFE,EQ,593.45,594.45,581.0,582.2,581.0,592.35,1659264,973678090.05,01-JUN-2023,51264,INE795G01014,
HEROMOTOCO,EQ,2758.85,2812.65,2746.85,2800.4,2802.0,2759.9,552629,1544404746.4,01-JUN-2023,47977,INE158A01026,
HINDALCO,EQ,409.05,414.4,405.9,406.35,406.75,405.9,4269628,1746232236.15,01-JUN-2023,47238,INE038A01020,
HINDCOPPER,EQ,114.75,114.75,111.2,111.6,111.95,113.25,3534039,397259374.8,01-JUN-2023,18967,INE531E01026,
HINDPETRO,EQ,263.0,267.35,259.6,260.25,260.25,260.9,2635049,694474397.3,01-JUN-2023,25751,INE094A01015,
HINDUNILVR,EQ,2667.0,2731.25,2654.5,2697.9,2691.0,2667.55,1541080,4169783905.9,01-JUN-2023,123682,INE030A01027,
IBULHSGFIN,AG,950.0,950.0,950.0,950.0,950.0,979.9,10,9500.0,01-JUN-2023,5,INE148I07OD4,
IBULHSGFIN,AN,990.0,990.0,990.0,990.0,990.0,990.0,9,8910.0,01-JUN-2023,1,INE148I07NV8,
IBULHSGFIN,EQ,115.7,117.5,114.4,114.6,114.5,115.15,7587140,877353086.6,01-JUN-2023,24119,INE148I01020,
